ville,canton,prix_metre_carre_moyen_louer,prix_metre_carre_moyen_acheter,ROI
Lucens,VD,18.21,6290.14,3.47
Moudon,VD,17.88,5308.63,4.04
Montanaire,VD,18.06,7333.13,2.96
Arzier-Le Muids,VD,29.0,9049.48,3.85
Begnins,VD,22.84,11896.11,2.3
Chavannes-des-Bois,VD,31.24,10615.38,3.53
Commugny,VD,36.59,15505.68,2.83
Coppet,VD,31.51,13564.57,2.79
Crans,VD,28.05,15856.37,2.12
Givrins,VD,28.16,11192.7,3.02
Gland,VD,27.67,9956.6,3.33
Mies,VD,34.16,23372.58,1.75
Prangins,VD,32.3,13903.24,2.79
La Rippe,VD,19.4,8825.85,2.64
Saint-Cergue,VD,21.54,8035.86,3.22
Tannay,VD,36.74,14404.54,3.06
Baulmes,VD,23.26,4393.76,6.35
Chavornay,VD,23.59,8039.61,3.52
Orbe,VD,18.26,7487.8,2.93
Vallorbe,VD,14.52,4976.46,3.5
Oron,VD,20.02,6525.33,3.68
Payerne,VD,16.62,5647.14,3.53
Valbroye,VD,17.6,6932.07,3.05
Gilly,VD,24.14,9518.23,3.04
Mont-sur-Rolle,VD,28.5,11824.21,2.89
Rolle,VD,21.6,15485.51,1.67
Le Chenit,VD,17.68,4746.54,4.47
Blonay,VD,24.35,10746.0,2.72
Chardonne,VD,23.59,15324.67,1.85
Corseaux,VD,26.02,13717.95,2.28
Jongny,VD,22.09,10807.76,2.45
Montreux,VD,24.59,13333.22,2.21
La Tour-de-Peilz,VD,25.09,12242.71,2.46
Vevey,VD,26.13,10397.22,3.02
Veytaux,VD,20.02,8209.73,2.93
Yverdon-les-Bains,VD,19.7,7725.92,3.06
Yvonand,VD,17.33,6638.76,3.13
Termen,VS,15.14,5719.52,3.18
Ardon,VS,17.67,4879.87,4.34
Chamoson,VS,15.97,5412.53,3.54
Conthey,VS,17.04,5558.9,3.68
Fully,VS,17.03,5680.99,3.6
Leytron,VS,17.39,5896.89,3.54
Riddes,VS,22.63,6662.63,4.08
Saxon,VS,19.59,4646.09,5.06
Collombey-Muraz,VS,18.49,5611.12,3.95
Port-Valais,VS,16.48,5919.93,3.34
Saint-Gingolph,VS,27.76,9181.28,3.63
Val-d'Illiez,VS,21.83,7144.66,3.67
Vionnaz,VS,13.58,4275.92,3.81
Vouvry,VS,16.05,5848.9,3.29
Massongex,VS,17.19,5469.62,3.77
Saint-Maurice,VS,13.85,4450.07,3.73
Vernayaz,VS,17.44,5083.99,4.12
Vérossaz,VS,9.92,4985.8,2.39
Sierre,VS,17.61,5532.3,3.82
Crans-Montana,VS,29.72,11349.06,3.14
Noble-Contrée,VS,15.59,5151.28,3.63
Grimisuat,VS,16.14,5983.48,3.24
Sion,VS,17.77,6153.98,3.46
Visperterminen,VS,17.69,4801.47,4.42
Boudry,NE,16.75,7083.33,2.84
Cortaillod,NE,18.62,8645.47,2.58
Milvignes,NE,17.23,8251.96,2.51
La Grande Béroche,NE,19.24,7811.89,2.96
La Chaux-de-Fonds,NE,12.44,3964.46,3.77
Le Locle,NE,10.24,2925.69,4.2
Neuchâtel,NE,18.37,7432.76,2.97
Saint-Blaise,NE,16.83,7239.26,2.79
La Tène,NE,15.43,7748.39,2.39
Val-de-Ruz,NE,13.99,5232.52,3.21
Val-de-Travers,NE,15.71,3794.07,4.97
Anières,GE,28.63,17719.62,1.94
Bellevue,GE,41.11,13129.8,3.76
Bernex,GE,29.57,10268.09,3.46
Chêne-Bougeries,GE,40.1,18296.73,2.63
Chêne-Bourg,GE,29.85,12917.02,2.77
Collex-Bossy,GE,35.71,9620.89,4.45
Collonge-Bellerive,GE,44.76,18756.44,2.86
Cologny,GE,58.67,24202.7,2.91
Corsier,GE,33.6,17777.5,2.27
Genève,GE,37.26,14692.11,3.04
Genthod,GE,33.59,10924.49,3.69
Le Grand-Saconnex,GE,34.44,13077.58,3.16
Lancy,GE,28.6,11948.17,2.87
Meinier,GE,27.43,12722.03,2.59
Meyrin,GE,30.62,11129.51,3.3
Onex,GE,28.51,13691.77,2.5
Plan-les-Ouates,GE,30.72,12431.76,2.97
Pregny-Chambésy,GE,35.94,16880.34,2.55
Satigny,GE,26.27,9447.3,3.34
Thônex,GE,28.51,12212.42,2.8
Vandoeuvres,GE,52.14,20108.47,3.11
Vernier,GE,39.56,17655.91,2.69
Versoix,GE,31.65,14986.6,2.53
Veyrier,GE,36.11,13382.97,3.24
Courroux,JU,12.92,3125.73,4.96
Develier,JU,13.91,4132.98,4.04
Haute-Sorne,JU,10.93,4362.37,3.01
Saignelégier,JU,12.49,5348.65,2.8
Alle,JU,13.58,4592.59,3.55
Courgenay,JU,12.88,4072.85,3.79
Porrentruy,JU,11.51,3863.73,3.57
La Baroche,JU,8.67,2670.28,3.89
Hautemorges,VD,19.33,9281.66,2.5
Val Mara,TI,22.61,6401.05,4.24
