ville,canton,prix_metre_carre_moyen
Collonge-Bellerive,GE,18756.439661256176
Collonges,VS,0.0
Cologny,GE,24202.695697252464
Comano,TI,0.0
Commugny,VD,15505.681818181818
Comunanza Cadenazzo/Monteceneri,TI,0.0
Concise,VD,0.0
Confignon,GE,13597.491448118586
Conthey,VS,5558.903544929925
Coppet,VD,13564.57119903595
Corcelles-le-Jorat,VD,0.0
Corcelles-près-Concise,VD,6759.036144578313
Corcelles-près-Payerne,VD,5909.090909090909
Corminboeuf,FR,7897.009966777408
Cormoret,BE,0.0
Cornol,JU,3754.7169811320755
Corseaux,VD,13717.948717948719
Corsier,GE,17777.5012444002
Corsier-sur-Vevey,VD,8851.17302052786
Cortaillod,NE,8645.465253239105
Cossonay,VD,8183.375634517766
Cottens,FR,5421.0526315789475
Courchapoix,JU,0.0
Courchavon,JU,0.0
Courgenay,JU,4072.8451563691838
Courgevaux,FR,0.0
Courroux,JU,3125.7309941520466
Court,BE,0.0
Courtedoux,JU,0.0
Courtelary,BE,0.0
Courtepin,FR,5144.671452236334
Crans,VD,15856.370192307691
Crans-Montana,VS,11349.059110655538
Crassier,VD,9863.039399624766
Cressier,FR,6276.507276507276
Cressier,NE,5927.258193445244
Cronay,VD,0.0
Crémines,BE,0.0
Crésuz,FR,7187.5
Cuarny,VD,7354.6511627906975
Cudrefin,VD,7364.9754500818335
Cugnasco-Gerra,TI,7159.253945480631
Cugy,FR,5663.894023413432
Curio,TI,0.0
Curtilles,VD,0.0
Céligny,GE,0.0
Daillens,VD,0.0
Dardagny,GE,7196.459495862998
Davos,GR,14227.891156462585
Delley-Portalban,FR,9295.323510570148
Delémont,JU,3333.3333333333335
Denens,VD,9813.126709206928
Denges,VD,11560.468140442134
Develier,JU,4132.978723404255
Diegten,BL,5330.188679245283
Dielsdorf,ZH,0.0
Diemtigen,BE,0.0
Dietlikon,ZH,0.0
Dintikon,AG,0.0
Domat/Ems,GR,0.0
Domleschg,GR,0.0
Dompierre,VD,0.0
Donneloye,VD,0.0
Dornach,SO,0.0
Dorénaz,VS,4998.386402753873
Dotzigen,BE,0.0
Duillier,VD,10268.341708542714
Dully,VD,15940.03747657714
Därligen,BE,0.0
Démoret,VD,5743.155149934811
Döttingen,AG,9057.02479338843
Düdingen,FR,7080.645161290323
Dürnten,ZH,0.0
Ebikon,LU,0.0
