ville,canton,prix_metre_carre_moyen
Fischbach-Göslikon,AG,0.0
Fischingen,TG,0.0
Fislisbach,AG,18.79937304075235
Flawil,SG,0.0
Flims,GR,0.0
Flumenthal,SO,0.0
Flüelen,UR,0.0
Fontenais,JU,0.0
Forel (Lavaux),VD,20.327868852459016
Founex,VD,0.0
Fraubrunnen,BE,0.0
Frauenkappelen,BE,22.551724137931036
Freienbach,SZ,0.0
Frick,AG,0.0
Froideville,VD,21.001824817518248
Fräschels,FR,0.0
Fully,VS,17.032348804500703
Fällanden,ZH,0.0
Féchy,VD,26.200738916256157
Fétigny,FR,0.0
Füllinsdorf,BL,16.168478260869566
Gambarogno,TI,14.305555555555555
Gansingen,AG,0.0
Gebenstorf,AG,15.779220779220779
Gempen,SO,17.338709677419356
Genthod,GE,33.592696629213485
Genève,GE,37.261538461538464
Gersau,SZ,0.0
Gibloux,FR,16.254346746150024
Gilly,VD,24.14156626506024
Gipf-Oberfrick,AG,0.0
Givisiez,FR,0.0
Givrins,VD,28.163992869875223
Gland,VD,27.669527896995707
Glarus,GL,0.0
Glarus Nord,GL,0.0
Goldach,SG,15.203791469194313
Gommiswald,SG,0.0
Gossau,SG,0.0
Gossau,ZH,0.0
Goumoëns,VD,0.0
Grabs,SG,0.0
Grancy,VD,0.0
Grandcour,VD,20.292887029288703
Grandevent,VD,0.0
Grandson,VD,23.309859154929576
Granges-Paccot,FR,18.961892247043362
Greifensee,ZH,0.0
Grellingen,BL,0.0
Grenchen,SO,15.095724313975749
Gretzenbach,SO,0.0
Grimisuat,VS,16.143790849673202
Grossaffoltern,BE,0.0
Grossdietwil,LU,0.0
Gruyères,FR,0.0
Gurmels,FR,18.057553956834532
Gurtnellen,UR,0.0
Gy,GE,0.0
Günsberg,SO,0.0
Hallau,SH,0.0
Hasle,LU,0.0
Hauenstein-Ifenthal,SO,0.0
Hauptwil-Gottshaus,TG,0.0
Haut-Intyamon,FR,0.0
Haute-Ajoie,JU,0.0
Haute-Sorne,JU,10.932151589242054
Hautemorges,VD,19.32758620689655
Hauterive,FR,0.0
Heimenhausen,BE,14.818840579710145
Heimiswil,BE,0.0
Herbligen,BE,0.0
Hergiswil,NW,22.737030411449016
Hermance,GE,0.0
Herrliberg,ZH,0.0
Hettlingen,ZH,0.0
Hochfelden,ZH,0.0
Hochwald,SO,0.0
Holderbank,SO,0.0
Horgen,ZH,27.06570841889117
Horn,TG,0.0
Hundwil,AR,0.0
Huttwil,BE,17.644628099173552
Hägendorf,SO,0.0
Hägglingen,AG,0.0
Härkingen,SO,0.0
Hölstein,BL,14.021739130434783
Höri,ZH,0.0
Hünenberg,ZG,0.0
Hüttikon,ZH,0.0
Hüttwilen,TG,0.0
Ilanz/Glion,GR,20.010729613733904
Illnau-Effretikon,ZH,20.707482993197278
Ipsach,BE,0.0
Isérables,VS,0.0
Itingen,BL,0.0
Ittigen,BE,0.0
Jegenstorf,BE,16.8048128342246
Jongny,VD,22.08641975308642
Jouxtens-Mézery,VD,0.0
Jussy,GE,0.0
Kappel,SO,0.0
Kehrsatz,BE,0.0
Kerns,OW,0.0
Kilchberg,ZH,0.0
Kirchberg,BE,16.456618740704016
Kirchberg,SG,0.0
Kirchlindach,BE,21.487603305785125
Klingnau,AG,0.0
Kloten,ZH,41.415410385259634
Knonau,ZH,0.0
Knutwil,LU,20.176119402985076
Koblenz,AG,0.0
Konolfingen,BE,0.0
Kriens,LU,0.0
Kölliken,AG,15.137614678899082
Köniz,BE,20.543509789702682
Küsnacht,ZH,0.0
Küttigen,AG,0.0
L'Abbaye,VD,0.0
L'Isle,VD,0.0
La Baroche,JU,8.666666666666666
La Brillaz,FR,0.0
La Chaux-de-Fonds,NE,12.442907875496136
La Grande Béroche,NE,19.238473767885534
La Praz,VD,0.0
La Rippe,VD,19.39571150097466
La Roche,FR,0.0
La Sarraz,VD,25.139442231075698
La Tour-de-Peilz,VD,25.09043927648579
La Tène,NE,15.4291553133515
Laconnex,GE,0.0
Lamone,TI,0.0
Lancy,GE,28.600217864923746
Langenthal,BE,13.34913217623498
Langrickenbach,TG,0.0
Laufenburg,AG,16.05839416058394
Laupersdorf,SO,0.0
Lauperswil,BE,16.21641791044776
Lausanne,VD,24.903946388682055
Lauwil,BL,0.0
Lavey-Morcles,VD,0.0
Lavigny,VD,26.162790697674417
Le Cerneux-Péquignot,NE,0.0
Le Chenit,VD,17.681159420289855
Le Grand-Saconnex,GE,34.4419844198442
Le Landeron,NE,0.0
Le Lieu,VD,0.0
Le Locle,NE,10.24009640006025
Le Mont-sur-Lausanne,VD,26.19887730553328
Le Noirmont,JU,0.0
Le Pâquier (FR),FR,19.892086330935253
Leimbach,AG,0.0
Lengnau,BE,13.177927927927929
Lens,VS,0.0
Lenzburg,AG,0.0
Les Montets,FR,20.90909090909091
Leukerbad,VS,0.0
Leysin,VD,18.28793774319066
Leytron,VS,17.393822393822393
Liestal,BL,18.0159069325736
Locarno,TI,0.0
Lonay,VD,25.714285714285715
Lotzwil,BE,0.0
Lucens,VD,18.210830704521555
Lugano,TI,28.158135981665392
Luins,VD,0.0
Lumnezia,GR,0.0
Lungern,OW,0.0
Lupfig,AG,0.0
Luterbach,SO,17.005730659025787
Lutry,VD,25.783132530120483
Luzern,LU,19.913183279742764
Lyss,BE,16.88
Lütisburg,SG,0.0
Lützelflüh,BE,14.064516129032258
Madiswil,BE,0.0
Maggia,TI,0.0
Maisprach,BL,0.0
Malters,LU,0.0
Mammern,TG,0.0
Mandach,AG,0.0
Manno,TI,15.75
Marchissy,VD,0.0
Marly,FR,19.041009463722396
Marsens,FR,0.0
Martigny,VS,0.0
Massagno,TI,24.825416666666666
Massongex,VS,17.191109555477773
Matran,FR,19.891156462585034
Mauensee,LU,0.0
Maur,ZH,0.0
Mauraz,VD,0.0
Meggen,LU,34.325740318906604
Meilen,ZH,0.0
Meinier,GE,27.428571428571427
Meiringen,BE,0.0
Melide,TI,0.0
Mellingen,AG,16.53723404255319
Mels,SG,0.0
Mendrisio,TI,17.823943661971832
Menziken,AG,0.0
Menznau,LU,0.0
Merishausen,SH,0.0
Mettauertal,AG,0.0
Mettmenstetten,ZH,0.0
Meyrin,GE,30.618729096989966
Mies,VD,34.15895481763745
Milvignes,NE,17.229850746268657
Minusio,TI,0.0
Mollens,VD,11.333333333333334
Mont-Noble,VS,0.0
Mont-Vully,FR,0.0
Mont-la-Ville,VD,0.0
Mont-sur-Rolle,VD,28.502415458937197
Montagny-près-Yverdon,VD,0.0
Montanaire,VD,18.06186868686869
Monteceneri,TI,0.0
Montet (Glâne),FR,0.0
Montilliez,VD,0.0
Montpreveyres,VD,0.0
Montreux,VD,24.587922048493088
Montricher,VD,0.0
Moosseedorf,BE,0.0
Morcote,TI,0.0
Morges,VD,27.268219383921863
Morschach,SZ,0.0
Moudon,VD,17.883698296836982
Muralto,TI,18.248110831234257
Muri,AG,0.0
Muri bei Bern,BE,20.1570796460177
Murten,FR,16.95447409733124
Mutrux,VD,0.0
Muttenz,BL,20.052410383189123
Männedorf,ZH,0.0
Ménières,FR,0.0
Mézières,FR,0.0
Mörigen,BE,0.0
Mühleberg,BE,0.0
Mümliswil-Ramiswil,SO,13.542635658914728
Münchenbuchsee,BE,20.455486542443065
Münchenstein,BL,29.37422494832989
Münchwilen,TG,17.248259860788863
Münsingen,BE,18.79621848739496
Müntschemier,BE,0.0
Naters,VS,16.523605150214593
Nebikon,LU,15.86013986013986
Neckertal,SG,14.45682451253482
Neftenbach,ZH,0.0
Neggio,TI,0.0
Nenzlingen,BL,0.0
Nesslau,SG,0.0
