web-scraper-order,web-scraper-start-url,price_text,metres_carres,ville_adresse,type_pieces
"1699260062-1","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-382?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 990.-/mois (+ 260.- Charges)","72 m2","Bellach, Grederstrasse 18","Appartement 3.5 pièces"
"1699260062-2","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-382?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'600.-/mois","30 m2","Genève, Rue de l'Athenee","Appartement meublé"
"1699260062-3","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-382?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 3'940.-/mois","30 m2","Paradiso, Via G.b. Dominione","Appartement meublé 1 pièce"
"1699260062-4","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-382?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","MON 3'880.-/mois (+ 3'880.- Charges)","","Zürich, Zweierstrasse","Appartement meublé 2 pièces"
"1699260062-5","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-382?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 3'185.-/mois","30 m2","Zürich, Baslerstrasse","Appartement meublé 1 pièce"
"1699260062-6","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-382?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'650.-/mois (+ 160.- Charges)","48 m2","Genève, Rue des Eaux-Vives 20","Appartement 3 pièces"
"1699260062-7","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-382?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'960.-/mois (+ 260.- Charges)","82 m2","Romanel-sur-Lausanne, Chemin des Tilleuls 2a","Appartement 3.5 pièces"
"1699260083-8","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'300.-/mois (+ 60.- Charges)","","St-Cergue, Chemin du Vieux-Château 2 (La Licorne)","Appartement 2 pièces"
"1699260083-9","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'490.-/mois (+ 290.- Charges)","150 m2","Hauterive NE, Rebattes 31","Villa 6 pièces"
"1699260083-10","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'054.-/mois (+ 87.- Charges)","69 m2","Crissier, Chemin des Lentillières 13 E","Appartement 3.5 pièces"
"1699260083-11","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'800.-/mois (+ 150.- Charges)","44 m2","Lausanne, Chemin des Retraites 11","Appartement 2 pièces"
"1699260083-12","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'903.-/mois (+ 92.- Charges)","74 m2","Crissier, Chemin des Lentillières 13 D","Appartement 3.5 pièces"
"1699260083-13","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 377.-/mois (+ 180.- Charges)","74 m2","Lausanne, Chemin d' Entrebois 17","Appartement 4 pièces"
"1699260083-14","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'620.-/mois (+ 260.- Charges)","","Lausanne, Route de Cojonnex 2","Appartement 3 pièces"
"1699260083-15","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'600.-/mois (+ 550.- Charges)","163 m2","La Chaux-de-Fonds, Rue de l'Helvétie 12","Appartement 7 pièces"
"1699260083-16","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'280.-/mois (+ 210.- Charges)","","Cornaux NE, Chemin des Etroits 18","Appartement 4 pièces"
"1699260083-17","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 690.-/mois (+ 105.- Charges)","49 m2","Delémont, Quai de la Sorne 22","Appartement 1 pièce"
"1699260083-18","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'316.-/mois (+ 220.- Charges)","71 m2","St-Blaise, Sous-les-Vignes 3-3A","Appartement 4 pièces"
"1699260083-19","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 362.-/mois (+ 105.- Charges)","63 m2","Lausanne, Chemin d' Entrebois 17","Appartement 3 pièces"
"1699260083-20","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 990.-/mois (+ 210.- Charges)","","Peseux, Tombet 5","Appartement 2 pièces"
"1699260083-21","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'485.-/mois (+ 200.- Charges)","94 m2","Salavaux, Chemin Fleuri 2","Appartement 3.5 pièces"
"1699260083-22","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'300.-/mois (+ 300.- Charges)","76 m2","Neuchâtel, Denis-de-Rougemont 26","Appartement 3.5 pièces"
"1699260083-23","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'760.-/mois (+ 275.- Charges)","115 m2","La Chaux-de-Fonds, Rue de l'Arc-en-Ciel 16","Appartement 5.5 pièces"
"1699260083-24","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 841.-/mois (+ 280.- Charges)","82 m2","La Chaux-de-Fonds, Rue du Doubs 141","Appartement 3 pièces"
"1699260083-25","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 610.-/mois (+ 300.- Charges)","54 m2","La Chaux-de-Fonds, Rue du Jura-Industriel 40","Appartement 2 pièces"
"1699260083-26","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'070.-/mois (+ 380.- Charges)","91 m2","La Chaux-de-Fonds, Rue du Jura-Industriel 40","Appartement 3.5 pièces"
"1699260083-27","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'280.-/mois (+ 210.- Charges)","76 m2","Neuchâtel, Rue des Battieux 1-3-5-7","Appartement 3 pièces"
"1699260083-28","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'985.-/mois (+ 315.- Charges)","75 m2","Genève, Av. Krieg 11","Appartement 4 pièces"
"1699260083-29","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'003.-/mois (+ 300.- Charges)","94 m2","Rheinfelden, Pappelnweg 30 A","Appartement 3.5 pièces"
"1699260083-30","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'518.-/mois (+ 190.- Charges)","86 m2","Boudry, Passage Blaise Cendrars 13","Appartement 3.5 pièces"
"1699260104-31","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'611.-/mois (+ 236.- Charges)","82 m2","Winterthur, Wülflingerstrasse 349","Appartement 3.5 pièces"
"1699260104-32","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'100.-/mois (+ 270.- Charges)","64 m2","St. Gallen, Kesselhaldenstr. 83","Appartement 3 pièces"
"1699260104-33","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 3'380.-/mois (+ 250.- Charges)","103 m2","Genève, Avenue Gaspard-Vallette 10","Appartement 4.5 pièces"
"1699260104-34","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 940.-/mois (+ 170.- Charges)","","Fribourg, Rue de la Sarine 4","Appartement 2.5 pièces"
"1699260104-35","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'000.-/mois (+ 120.- Charges)","40 m2","Morges, Ch. du Bochet 14","Appartement 2 pièces"
"1699260104-36","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 930.-/mois (+ 123.- Charges)","38 m2","Neuchâtel, Rue du Chasselas 14","Appartement 1.5 pièces"
"1699260104-37","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 800.-/mois (+ 90.- Charges)","","La Plaine, Route de la Plaine 75","Appartement 1.5 pièces"
"1699260104-38","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'505.-/mois (+ 200.- Charges)","","Lucens, Rue de l'Hôtel de Ville 8","Appartement 4.5 pièces"
"1699260104-39","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 990.-/mois (+ 90.- Charges)","","Lausanne, Chemin du Reposoir 26","Appartement 1 pièce"
"1699260104-40","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'150.-/mois (+ 100.- Charges)","51 m2","Zürich, Stüssistr. 101","Appartement 2 pièces"
"1699260104-41","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'190.-/mois (+ 300.- Charges)","103 m2","Dornach, Birsweg 14","Attique 5 pièces"
"1699260104-42","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'165.-/mois (+ 140.- Charges)","57 m2","Schaffhausen, Fulachstrasse 261","Appartement 2.5 pièces"
"1699260104-43","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'960.-/mois (+ 300.- Charges)","106 m2","Fribourg, Passage du Cardinal 4","Appartement 3.5 pièces"
"1699260104-44","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 6'200.-/mois","142 m2","1294 Genthod, Contactez l'agence pour l'adresse","Maison 5 pièces"
"1699260104-45","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'095.-/mois (+ 180.- Charges)","","Sumiswald, Haselacker 2","Appartement 2.5 pièces"
"1699260104-46","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 945.-/mois (+ 200.- Charges)","60 m2","Prilly, Avenue de Chantegrive 11","Appartement 3 pièces"
"1699260104-47","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'050.-/mois (+ 60.- Charges)","","Rolle, Grand-Rue 58","Appartement 1.5 pièces"
"1699260104-48","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'570.-/mois (+ 200.- Charges)","56 m2","Renens VD, Rue du Lac 25 A","Appartement 3.5 pièces"
"1699260104-49","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'300.-/mois (+ 200.- Charges)","119 m2","Lausanne, Chemin des Croix-Rouges 16","Appartement 5.5 pièces"
"1699260104-50","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'140.-/mois (+ 140.- Charges)","57 m2","Lucens, Route de Villeneuve 28","Appartement 2.5 pièces"
"1699260104-51","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'800.-/mois (+ 175.- Charges)","75 m2","Montreux, Rue de la Paix 11","Appartement 3 pièces"
"1699260104-52","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'160.-/mois (+ 210.- Charges)","","St-Aubin-Sauges, Rue de Castel 3","Appartement 3 pièces"
"1699260104-53","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-380?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'120.-/mois (+ 220.- Charges)","","Cernier, Pommeret 23","Appartement 4 pièces"
"1699260125-54","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-379?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'400.-/mois (+ 320.- Charges)","85 m2","Corpataux, Route du Centre 81","Appartement 3.5 pièces"
"1699260125-55","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-379?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 753.-/mois (+ 220.- Charges)","","La Chaux-de-Fonds, Locle 22","Appartement 3 pièces"
"1699260125-56","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-379?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'330.-/mois (+ 360.- Charges)","","La Chaux-de-Fonds, Sorbiers 23","Duplex 5 pièces"
"1699260125-57","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-379?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'500.-/mois (+ 160.- Charges)","50 m2","La Croix-de-Rozon, Chemin d'Archamps 29","Appartement 3 pièces"
"1699260125-58","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-379?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 745.-/mois (+ 270.- Charges)","91 m2","La Chaux-de-Fonds, Serre 9","Appartement 3 pièces"
"1699260125-59","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-379?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 770.-/mois (+ 180.- Charges)","","La Chaux-de-Fonds, Ronde 37","Appartement 3 pièces"
"1699260125-60","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-379?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 574.-/mois (+ 155.- Charges)","","La Chaux-de-Fonds, Temple-Allemand 107","Appartement 2 pièces"
"1699260125-61","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-379?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 720.-/mois (+ 120.- Charges)","57 m2","St-Cierges, Chemin de l'Eglise 8","Appartement 2 pièces"
"1699260125-62","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-379?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'825.-/mois","60 m2","Basel, Thannerstrasse","Appartement meublé 4 pièces"
"1699260125-63","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-379?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'125.-/mois","30 m2","Basel, Missionsstrasse","Appartement meublé 1 pièce"
"1699260125-64","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-379?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'500.-/mois (+ 50.- Charges)","34 m2","Genève, Boulevard Carl-Vogt 41","Appartement 2 pièces"
"1699260125-65","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-379?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'518.-/mois (+ 200.- Charges)","79 m2","Lyss, Steinweg 18","Appartement 3.5 pièces"
"1699260125-66","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-379?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'550.-/mois (+ 180.- Charges)","73 m2","Fribourg, Route des Arsenaux 6, Entrée A","Appartement 3.5 pièces"
"1699260125-67","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-379?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'250.-/mois (+ 200.- Charges)","","St-Pierre-de-Clages, Rue de l'Eglise 60","Appartement 3.5 pièces"
"1699260125-68","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-379?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'710.-/mois (+ 300.- Charges)","75 m2","Glattbrugg, Giebeleichstrasse 28","Appartement 4 pièces"
"1699260125-69","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-379?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'650.-/mois (+ 250.- Charges)","159 m2","La Praz, Grand Rue 12","Appartement 3.5 pièces"
"1699260125-70","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-379?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'820.-/mois (+ 270.- Charges)","89 m2","Wabern, Funkstrasse 85","Appartement 3.5 pièces"
"1699260125-71","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-379?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'352.-/mois","","Genève, Route de Frontenex 60d","Appartement 4 pièces"
