ville,canton,prix,metres_carres,type,nbr_pieces
Neuchâtel,NE,1350,79,Appartement ,3.5
Heimenhausen,BE,1260,87,Appartement ,4.5
Le Locle,NE,768,80,Appartement ,3.0
Neuchâtel,NE,1250,84,Appartement ,3.0
Crans-Montana,VS,3900,116,Appartement ,4.5
La Chaux-de-Fonds,NE,920,64,Appartement ,3.0
Vernayaz,VS,1500,88,Appartement ,3.5
La Chaux-de-Fonds,NE,800,70,Appartement ,3.0
Birmenstorf,AG,2100,110,Dernier étage ,3.5
Zürich,ZH,2200,77,Appartement ,3.0
Saint-Sulpice,VD,1950,78,Appartement ,3.0
Waldenburg,BL,1475,105,Appartement ,4.5
Münchenstein,BL,4000,166,Duplex ,4.5
Visperterminen,VS,1250,52,Appartement ,2.5
Cheyres-Châbles,FR,1450,67,Appartement ,2.5
Arbon,TG,840,72,Appartement ,4.0
La Chaux-de-Fonds,NE,1150,100,Appartement ,3.5
Liestal,BL,1230,72,Appartement ,3.5
Therwil,BL,2050,114,Appartement ,4.5
Collonge-Bellerive,GE,12900,300,Villa ,10.0
Chavannes-près-Renens,VD,1980,71,Appartement ,3.5
Twann-Tüscherz,BE,1155,59,Appartement ,3.0
Porrentruy,JU,1150,114,Duplex ,4.5
Zürich,ZH,3455,27,Appartement meublé ,1.0
Saxon,VS,1070,57,Appartement ,2.5
Solothurn,SO,2090,100,Appartement ,3.5
Montreux,VD,1445,71,Appartement ,2.5
Vernier,GE,1650,30,Appartement ,1.0
Zwingen,BL,1270,83,Appartement ,3.5
Le Locle,NE,720,63,Appartement ,3.5
Le Locle,NE,650,60,Appartement ,3.0
Courgenay,JU,850,75,Appartement ,3.0
Begnins,VD,10500,550,Maison ,10.0
Vallorbe,VD,1940,145,Appartement ,6.5
Moudon,VD,2211,111,Appartement ,4.5
Moudon,VD,2178,110,Appartement ,4.5
Therwil,BL,1880,93,Appartement ,3.5
Crans-Montana,VS,2000,50,Appartement ,2.0
La Chaux-de-Fonds,NE,1150,110,Appartement ,5.5
Kirchberg,BE,650,36,Appartement ,1.5
La Chaux-de-Fonds,NE,770,62,Appartement ,3.0
La Chaux-de-Fonds,NE,885,50,Appartement ,2.0
Blonay - Saint-Légier,VD,1400,73,Mansarde ,3.0
Blonay - Saint-Légier,VD,3900,152,Maison contiguë ,5.5
Fontenais,JU,750,57,Appartement ,2.0
Le Locle,NE,650,47,Appartement ,3.5
Torricella-Taverne,TI,1220,85,Appartement ,4.5
Köniz,BE,1160,80,Appartement ,3.5
Zürich,ZH,2464,19,Appartement meublé ,1.0
Montreux,VD,2400,125,Duplex ,5.5
Le Locle,NE,746,74,Appartement ,3.5
La Chaux-de-Fonds,NE,750,50,Appartement ,3.0
St. Silvester,FR,1000,70,Appartement ,3.0
Tafers,FR,1100,62,Appartement ,3.0
Tafers,FR,1290,95,Appartement ,3.5
Le Locle,NE,910,73,Appartement ,3.5
Begnins,VD,4650,157,Appartement ,5.5
Flüelen,UR,700,35,Chambre ,1.0
Biberist,SO,1340,78,Appartement ,3.5
Ormalingen,BL,1390,79,Appartement ,4.5
Roggwil,TG,620,50,Appartement ,2.5
Frauenkappelen,BE,3000,130,Appartement ,3.5
Pully,VD,3200,100,Appartement ,4.0
Twann-Tüscherz,BE,1390,79,Appartement ,4.0
Eschenbach,SG,1900,153,Appartement ,6.0
Morges,VD,1720,80,Appartement ,3.5
Vernier,GE,4200,127,Appartement ,4.5
Tévenon,VD,2090,110,Appartement ,4.5
Schluein,GR,2020,106,Appartement ,4.5
Genthod,GE,6200,160,Maison contiguë ,7.0
La Chaux-de-Fonds,NE,1170,91,Appartement ,3.5
La Chaux-de-Fonds,NE,695,62,Appartement ,3.0
Estavayer,FR,1820,120,Appartement ,4.5
Arbon,TG,1720,113,Appartement ,4.5
Zürich,ZH,2464,21,Appartement meublé ,1.0
Bellinzona,TI,1010,67,Appartement ,3.5
Torricella-Taverne,TI,820,45,Appartement ,2.5
Satigny,GE,5500,320,Maison,
La Tour-de-Peilz,VD,1370,55,Appartement ,3.0
Conthey,VS,1220,51,Appartement ,2.5
Pfeffingen,BL,2120,128,Appartement ,6.0
Trüllikon,ZH,2750,85,Appartement ,3.5
Oberdorf,BL,1350,80,Appartement ,3.5
Selzach,SO,1630,90,Appartement ,4.5
Pratteln,BL,2050,185,Attique ,4.5
Gossau,SG,1300,45,Appartement meublé ,2.5
Wahlen,BL,1360,93,Dernier étage ,3.5
Zürich,ZH,2352,24,Appartement meublé,
La Chaux-de-Fonds,NE,1075,75,Appartement ,3.5
Le Locle,NE,680,31,Appartement ,2.5
Reiden,LU,1300,102,Appartement ,3.5
Sierre,VS,1205,84,Appartement ,3.5
Montreux,VD,25000,789,Maison ,20.0
Münchwilen,TG,1240,78,Appartement ,3.5
Rorschacherberg,SG,1580,138,Appartement ,4.5
Flüelen,UR,700,35,Chambre ,1.0
Uttwil,TG,1450,97,Appartement ,3.5
Saint-Sulpice,VD,12000,421,Villa ,8.0
Crans-Montana,VS,3350,122,Attique ,3.5
Neuchâtel,NE,2340,138,Appartement ,6.0
Lucens,VD,1500,95,Appartement ,4.5
Bussigny,VD,2490,84,Appartement ,3.5
Villaz,FR,2150,107,Appartement ,4.5
Twann-Tüscherz,BE,1320,75,Appartement ,3.0
Montilliez,VD,2990,160,Maison contiguë ,4.5
La Chaux-de-Fonds,NE,1030,69,Appartement ,3.0
Penthaz,VD,1950,117,Appartement ,5.5
Münchenstein,BL,1410,60,Appartement ,2.5
Aarburg,AG,1200,86,Appartement ,4.5
Twann-Tüscherz,BE,1500,102,Appartement ,4.5
Estavayer,FR,1395,118,Appartement ,4.5
Prangins,VD,3900,150,Attique ,3.5
Hauterive,FR,1110,61,Appartement ,3.5
Münchenbuchsee,BE,2275,100,Attique ,4.5
Vernayaz,VS,1410,117,Appartement ,3.0
Saint-Sulpice,VD,1510,36,Studio ,1.0
Oberwil,BL,2260,126,Duplex ,4.5
Tafers,FR,1690,60,Appartement ,2.5
La Chaux-de-Fonds,NE,1400,116,Appartement ,4.5
Wegenstetten,AG,1490,120,Dernier étage ,3.5
Wigoltingen,TG,1680,114,Appartement ,4.5
Blonay - Saint-Légier,VD,4700,200,Appartement ,8.0
Zürich,ZH,3864,60,Appartement meublé ,4.0
Saint-Imier,BE,880,63,Appartement ,3.5
Tafers,FR,1120,66,Appartement ,2.5
La Chaux-de-Fonds,NE,880,75,Appartement ,3.0
Vernier,GE,6980,109,Appartement ,2.0
Vernier,GE,3900,51,Appartement ,1.0
Zürich,ZH,2890,21,Studio,
Zürich,ZH,2390,22,Studio,
Neuheim,ZG,5026,66,Appartement,
Opfikon,ZH,1890,16,Studio,
Opfikon,ZH,2790,34,Appartement,
Opfikon,ZH,3590,30,Appartement,
Vevey,VD,1400,15,Appartement,
Vevey,VD,1850,25,Appartement,
Zug,ZG,2549,15,Appartement,
Zürich,ZH,4190,38,Appartement,
Zürich,ZH,3990,37,Appartement ,2.0
Zürich,ZH,5080,63,Appartement,
Zürich,ZH,2890,24,Appartement,
Prangins,VD,1580,52,Appartement ,2.0
Neuchâtel,NE,1890,88,Appartement ,3.5
Marly,FR,1210,83,Appartement ,3.5
Zürich,ZH,3800,40,Appartement meublé ,2.0
Ilanz/Glion,GR,1783,75,Appartement ,3.5
Windisch,AG,1650,67,Attique ,2.5
Saint-Aubin,FR,1150,80,Appartement ,3.5
Siviriez,FR,1600,97,Appartement ,4.5
Vernier,GE,35000,850,Maison ,10.0
Gibloux,FR,1340,72,Appartement ,3.5
Delémont,JU,1100,107,Appartement ,3.5
Stäfa,ZH,2900,115,Appartement ,7.0
Laufenburg,AG,1100,70,Appartement ,3.5
Saint-Sulpice,VD,2679,32,Appartement meublé,
Saint-Sulpice,VD,2779,25,Appartement meublé,
Meggen,LU,1995,18,Studio,
Münchenstein,BL,2190,19,Studio,
Münchenstein,BL,2990,27,Appartement,
Saint-Sulpice,VD,2479,28,Appartement meublé,
Saint-Sulpice,VD,1939,17,Appartement,
Zürich,ZH,1990,14,Appartement,
Vernier,GE,4900,132,Appartement ,5.0
Versoix,GE,3050,79,Appartement ,4.5
Crans-Montana,VS,2500,120,Appartement ,4.5
Thun,BE,1380,76,Appartement ,3.5
Genève,GE,6950,210,Maison ,8.0
Therwil,BL,2000,133,Appartement ,4.0
Frauenkappelen,BE,3200,133,Duplex ,4.5
Chavannes-près-Renens,VD,1490,48,Appartement ,2.0
Dotzigen,BE,1200,75,Appartement ,4.5
Köniz,BE,1601,60,Appartement ,2.5
Saint-Sulpice,VD,11800,278,Appartement ,4.5
Lutry,VD,3330,114,Appartement ,4.5
L'Abbaye,VD,1850,115,Appartement ,6.0
Vevey,VD,2000,80,Appartement ,3.5
La Chaux-de-Fonds,NE,800,67,Appartement ,2.0
Prangins,VD,2280,56,Appartement ,2.5
Semsales,FR,1300,85,Appartement ,3.5
Echallens,VD,1920,96,Appartement ,4.5
Crans-Montana,VS,1260,67,Appartement ,3.5
Grandson,VD,1820,77,Appartement ,3.5
Le Chenit,VD,1880,107,Appartement ,3.5
Val-de-Ruz,NE,1280,74,Appartement ,3.5
Lutry,VD,4500,162,Maison ,5.0
Payerne,VD,1200,75,Appartement ,3.5
Gossau,SG,1830,118,Appartement ,5.5
Münchenstein,BL,1765,99,Appartement ,4.5
Arbon,TG,1810,105,Appartement ,4.5
Lauperswil,BE,1355,90,Immeuble résidentiel ,4.5
Chêne-Bougeries,GE,19500,520,Appartement ,9.0
Versoix,GE,3200,99,Appartement ,4.0
Willisau,LU,1480,120,Appartement ,5.5
Crans-Montana,VS,4500,110,Appartement ,4.5
Starrkirch-Wil,SO,1500,96,Appartement ,4.5
Knonau,ZH,3240,150,Appartement ,5.5
Prangins,VD,3800,108,Appartement,
Vernier,GE,2230,85,Appartement ,4.5
Allschwil,BL,1320,65,Appartement ,3.0
Lutry,VD,4500,160,Duplex ,4.5
Renens,VD,1340,54,Appartement ,2.0
Vernier,GE,5300,140,Appartement ,5.0
Payerne,VD,1450,61,Mansarde ,3.5
Liestal,BL,1460,82,Appartement ,4.0
Heimenhausen,BE,1240,87,Appartement ,4.5
Pregny-Chambésy,GE,6600,191,Villa ,7.0
Val-de-Ruz,NE,1620,113,Appartement ,4.5
Münchenstein,BL,1131,51,Appartement ,2.0
Zuchwil,SO,1210,89,Appartement ,4.5
Twann-Tüscherz,BE,1155,59,Appartement ,3.0
Vernier,GE,2695,30,Appartement meublé,
Münchenstein,BL,1510,82,Appartement ,3.5
Montreux,VD,1660,72,Appartement ,3.0
Wölflinswil,AG,2070,110,Appartement ,3.5
Starrkirch-Wil,SO,1700,90,Maison contiguë ,4.5
Wildhaus-Alt St. Johann,SG,1000,39,Chambre ,1.5
Tägerwilen,TG,850,31,Appartement ,1.5
Salmsach,TG,1350,70,Appartement ,3.5
Münchwilen,TG,1445,80,Dernier étage ,4.0
Tavannes,BE,1450,80,Appartement ,3.5
Twann-Tüscherz,BE,2130,89,Appartement ,3.5
Tafers,FR,1400,68,Appartement ,3.5
Vully-les-Lacs,VD,1916,79,Appartement ,3.5
Pregny-Chambésy,GE,3900,110,Appartement ,4.5
Vernier,GE,6600,172,Appartement ,6.5
Lucens,VD,1490,104,Appartement ,4.5
Lucens,VD,1420,77,Appartement ,2.5
Reconvilier,BE,1150,56,Appartement ,2.5
Corseaux,VD,2000,110,Duplex ,4.0
Riehen,BS,1400,67,Appartement ,3.0
Féchy,VD,7250,280,Maison ,7.0
Vernier,GE,1300,29,Appartement ,1.0
Saint-Cergue,VD,1890,85,Appartement ,3.5
Hautemorges,VD,2360,125,Appartement ,4.5
Paradiso,TI,2699,70,Appartement meublé ,7.0
Dully,VD,4800,170,Maison ,7.5
Montreux,VD,910,20,Studio ,1.0
Tafers,FR,1730,112,Appartement ,4.5
Pratteln,BL,1510,84,Appartement ,4.5
Schaffhausen,SH,2008,99,Appartement ,3.5
Hermance,GE,5500,200,Maison ,8.0
Sainte-Croix,VD,1300,120,Appartement,
Romanel-sur-Lausanne,VD,2000,55,Dernier étage ,2.0
Jongny,VD,3400,148,Appartement ,5.5
Vernier,GE,3206,60,Appartement meublé ,3.0
Crans-Montana,VS,3200,145,Maison ,6.5
Cologny,GE,25000,260,Maison ,6.0
Prévonloup,VD,1185,90,Appartement ,3.5
Noble-Contrée,VS,1730,109,Appartement ,5.5
Vallorbe,VD,580,37,Appartement ,1.0
Münchenstein,BL,1076,44,Appartement ,2.0
Pregny-Chambésy,GE,1400,32,Studio ,1.0
Blonay - Saint-Légier,VD,5500,200,Maison ,6.5
St. Margrethen,SG,840,63,Appartement ,3.5
Saint-Prex,VD,4700,210,Maison contiguë,
Yvonand,VD,1550,80,Appartement ,3.5
Yvorne,VD,1650,87,Appartement ,3.5
Conthey,VS,1210,95,Appartement ,4.0
Twann-Tüscherz,BE,1580,148,Duplex ,5.5
Villaz,FR,1980,110,Appartement ,4.5
Yvorne,VD,2750,165,Appartement ,5.5
Frauenkappelen,BE,2400,88,Appartement ,4.0
Frauenkappelen,BE,1900,72,Dernier étage ,2.5
Saint-Cergue,VD,2100,150,Appartement ,3.5
Saint-Sulpice,VD,2500,101,Appartement ,4.5
Le Locle,NE,750,70,Appartement ,3.5
Uzwil,SG,1180,95,Appartement ,4.0
Crans,VD,4900,140,Maison contiguë ,5.5
Thun,BE,1800,76,Appartement ,4.5
La Chaux-de-Fonds,NE,1290,85,Appartement ,4.5
Fétigny,FR,1480,90,Appartement ,4.0
Düdingen,FR,1690,91,Appartement ,3.5
Goldach,SG,1930,132,Appartement ,5.5
Saint-Sulpice,VD,2680,114,Appartement ,4.5
Attalens,FR,1650,115,Appartement ,5.0
Bossonnens,FR,1750,118,Appartement ,4.5
Frauenkappelen,BE,1340,50,Dernier étage ,1.5
Matran,FR,2100,111,Appartement ,4.5
Cossonay,VD,1950,126,Attique ,4.0
Crans-Montana,VS,1500,38,Appartement ,1.5
Mendrisio,TI,1350,90,Appartement ,3.5
Vernier,GE,1650,34,Appartement ,2.0
Lutry,VD,2950,126,Appartement ,5.5
Corminboeuf,FR,1560,81,Appartement ,3.5
Echallens,VD,3800,214,Maison jumelée ,7.5
Buchs,AG,1870,100,Appartement ,5.5
Villeneuve,VD,1300,75,Appartement ,4.0
Rapperswil-Jona,SG,1258,98,Appartement ,3.5
Sion,VS,1160,42,Appartement ,2.5
Riehen,BS,1670,88,Appartement ,4.0
Saint-Gingolph,VS,2245,108,Appartement ,4.5
Saicourt,BE,850,85,Appartement ,4.0
Boudry,NE,2025,127,Appartement ,5.5
Worb,BE,1150,61,Appartement ,3.5
Saint-Blaise,NE,2490,136,Appartement ,4.5
Veyrier,GE,2200,41,Appartement terrasse ,2.0
Winkel,ZH,2160,134,Duplex ,4.5
Echandens,VD,2540,100,Appartement ,3.5
Vandoeuvres,GE,11000,265,Appartement ,7.0
Bussigny,VD,2670,98,Attique ,4.5
Bussigny,VD,2320,100,Duplex ,3.5
Crans-Montana,VS,2150,51,Appartement meublé ,2.5
Porrentruy,JU,660,28,Appartement meublé,
Chevroux,VD,1520,81,Appartement ,3.5
Naters,VS,2500,140,Appartement ,4.5
Muri bei Bern,BE,1450,80,Duplex ,1.5
Courroux,JU,990,68,Appartement ,3.5
Egg,ZH,2428,102,Appartement ,3.5
Schönenwerd,SO,2130,139,Duplex ,4.5
Villarsel-sur-Marly,FR,1630,110,Appartement ,4.5
Attalens,FR,1500,88,Appartement ,3.5
Saint-Sulpice,VD,5400,124,Villa ,5.5
Alle,JU,1700,115,Appartement ,4.5
Cottens,FR,1040,71,Appartement ,3.5
Givrins,VD,14500,515,Maison ,7.0
Féchy,VD,6800,288,Appartement ,6.5
Vuarrens,VD,2900,140,Maison jumelée ,4.5
Oron,VD,1890,90,Appartement ,3.5
Courroux,JU,1250,92,Appartement ,3.5
Nebikon,LU,1250,65,Appartement ,2.5
Liestal,BL,2450,122,Appartement ,4.5
Courroux,JU,800,44,Appartement ,2.0
Gland,VD,2240,110,Appartement ,4.5
Marly,FR,1290,60,Appartement ,2.5
Nebikon,LU,2144,143,Attique ,5.5
Yverdon-les-Bains,VD,2150,78,Appartement ,3.0
Vernier,GE,3900,155,Appartement ,6.0
Neckertal,SG,1300,85,Appartement ,4.5
Vevey,VD,1300,49,Appartement ,2.0
Zürich,ZH,3400,123,Appartement ,4.5
Meiringen,BE,790,38,Appartement ,2.0
Courchavon,JU,779,60,Appartement ,3.0
Val-de-Ruz,NE,1750,115,Dernier étage ,4.5
La Chaux-de-Fonds,NE,1400,122,Appartement ,4.5
Münchenstein,BL,1660,69,Appartement ,2.0
Gossau,SG,1400,120,Appartement ,5.5
Bourg-en-Lavaux,VD,1450,48,Appartement ,1.0
Stetten,AG,1249,53,Appartement ,1.5
Vandoeuvres,GE,11000,131,Appartement ,4.0
Faido,TI,1500,80,Villa ,4.5
Sachseln,OW,2750,115,Appartement ,3.5
Zollikon,ZH,3500,94,Attique ,5.0
Ostermundigen,BE,1870,112,Appartement ,5.5
Vernier,GE,2750,76,Appartement ,4.0
La Chaux-de-Fonds,NE,530,26,Appartement ,1.5
Lungern,OW,2000,140,Appartement ,4.5
Montreux,VD,1890,60,Appartement ,2.5
Ennetbaden,AG,1600,72,Appartement ,4.5
Riaz,FR,1650,98,Appartement ,4.5
Rickenbach,LU,1660,120,Dernier étage ,4.5
Oftringen,AG,500,47,Appartement terrasse ,2.0
Münchwilen,TG,1960,140,Appartement ,5.5
La Baroche,JU,750,85,Appartement ,4.5
Hergiswil,NW,2400,135,Appartement meublé ,5.5
Solothurn,SO,2375,100,Appartement ,3.5
Schluein,GR,2020,106,Appartement ,4.5
Hauenstein-Ifenthal,SO,2200,156,Maison ,6.5
La Chaux-de-Fonds,NE,1100,89,Appartement ,3.5
Saint-Sulpice,VD,4900,111,Appartement ,4.5
Chavannes-près-Renens,VD,1885,86,Appartement ,3.5
Crans-Montana,VS,1600,65,Appartement meublé ,2.5
Berg,TG,1200,78,Appartement ,4.0
Luterbach,SO,1280,63,Appartement ,2.5
Vernier,GE,2400,59,Appartement ,3.5
Safenwil,AG,1700,87,Appartement ,3.5
Münchenstein,BL,3020,124,Duplex ,5.0
Unterentfelden,AG,1632,106,Appartement ,4.5
Münchenstein,BL,1275,68,Appartement ,3.0
Montanaire,VD,1850,130,Appartement ,3.5
Marchissy,VD,2050,85,Appartement ,3.5
Develier,JU,1219,100,Appartement ,4.5
Vernier,GE,7500,160,Maison ,6.5
Lavigny,VD,1790,66,Duplex,
Zürich,ZH,2030,59,Appartement ,1.5
Ueberstorf,FR,2000,114,Appartement ,4.5
Porza,TI,1920,84,Appartement ,3.5
Waldkirch,SG,1030,41,Appartement ,2.5
Noble-Contrée,VS,1410,99,Appartement ,4.5
Morges,VD,2330,80,Appartement ,4.0
Hautemorges,VD,1500,50,Appartement ,2.5
Zürich,ZH,2890,24,Appartement,
Courtepin,FR,1690,110,Appartement ,4.5
Frauenkappelen,BE,2460,143,Appartement ,3.0
Vandoeuvres,GE,11000,197,Attique ,5.5
Buchillon,VD,2650,125,Appartement ,3.5
Bex,VD,1130,58,Appartement ,2.5
Chavannes-près-Renens,VD,2435,102,Appartement ,4.5
Chavannes-près-Renens,VD,1340,55,Appartement ,2.5
Vernier,GE,3000,88,Appartement ,5.0
Chavannes-près-Renens,VD,1135,31,Appartement ,1.5
Saint-Sulpice,VD,1980,105,Appartement ,3.5
Versoix,GE,2000,92,Appartement ,4.0
Vernier,GE,3585,111,Appartement ,4.0
Zürich,ZH,2530,76,Appartement ,3.0
Crans-Montana,VS,2700,43,Dernier étage ,2.5
Bernex,GE,2550,95,Appartement ,5.0
Pully,VD,6500,220,Appartement ,6.0
La Chaux-de-Fonds,NE,770,64,Appartement ,3.0
Vevey,VD,1590,103,Appartement ,4.0
Vernier,GE,3254,72,Appartement ,3.0
Andelfingen,ZH,1395,72,Appartement ,4.0
Saint-Sulpice,VD,2210,78,Appartement ,4.0
Twann-Tüscherz,BE,1100,87,Appartement ,3.5
Köniz,BE,1770,80,Appartement ,3.5
La Chaux-de-Fonds,NE,850,80,Appartement ,3.0
Liestal,BL,1315,50,Appartement ,2.5
Steckborn,TG,1590,95,Dernier étage ,3.5
Liestal,BL,1700,103,Appartement ,3.5
Rheinfelden,AG,1400,86,Appartement ,4.5
Renens,VD,1630,78,Appartement ,3.0
Vernier,GE,3450,104,Attique ,4.0
Thundorf,TG,1850,104,Appartement ,4.5
Pregny-Chambésy,GE,4800,121,Attique ,6.5
Jongny,VD,1700,98,Appartement ,4.5
Lucens,VD,1060,50,Appartement ,3.0
Rüderswil,BE,1290,80,Appartement ,3.0
Liestal,BL,2050,37,Appartement ,3.5
Rheinfelden,AG,1750,116,Appartement ,4.5
Münchenstein,BL,2200,66,Appartement ,3.5
Cossonay,VD,1890,108,Duplex ,4.5
Saint-Sulpice,VD,3550,151,Villa ,4.5
Arbon,TG,750,61,Appartement ,3.0
Vernier,GE,1730,74,Appartement ,4.0
Rheinau,ZH,1750,110,Duplex ,4.5
Tafers,FR,1440,92,Appartement ,4.5
Münchenstein,BL,2500,105,Appartement ,4.5
Tafers,FR,1330,69,Appartement ,2.5
Zürich,ZH,2325,48,Appartement ,2.0
Schöfflisdorf,ZH,1500,72,Dernier étage ,2.5
Zürich,ZH,2090,18,Appartement,
Bex,VD,1800,92,Appartement ,4.5
Thalwil,ZH,1800,62,Appartement ,2.5
Biberist,SO,1353,88,Appartement ,4.5
Vevey,VD,1650,69,Appartement ,3.0
Morges,VD,4900,187,Appartement ,6.5
Tafers,FR,1100,72,Appartement ,2.5
Thônex,GE,1450,40,Appartement ,2.0
Küsnacht,ZH,2630,56,Appartement ,1.5
Bex,VD,1650,120,Appartement ,4.0
Remaufens,FR,2100,112,Appartement ,4.5
Grandcour,VD,1650,79,Appartement meublé ,3.5
Muttenz,BL,1565,79,Appartement ,4.0
La Chaux-de-Fonds,NE,1240,96,Appartement ,3.5
Bussigny,VD,1350,75,Appartement ,4.5
Saint-Sulpice,VD,2950,79,Appartement ,3.5
Mümliswil-Ramiswil,SO,999,86,Appartement ,4.5
Chêne-Bougeries,GE,6400,140,Appartement ,5.0
Vernier,GE,7800,202,Appartement ,6.5
Meggen,LU,1045,58,Appartement ,2.0
Lausanne,VD,1045,48,Appartement ,2.0
Grenchen,SO,1320,52,Attique ,2.5
Le Lieu,VD,680,35,Appartement ,1.0
La Chaux-de-Fonds,NE,1011,92,Appartement ,4.5
Meggen,LU,2411,97,Appartement ,4.0
Saint-Sulpice,VD,2450,105,Appartement ,3.0
Wolfenschiessen,NW,1500,65,Appartement ,3.5
Lucens,VD,1600,84,Appartement ,4.5
Vernier,GE,4500,135,Appartement ,5.0
La Chaux-de-Fonds,NE,1690,94,Appartement ,4.5
Cortaillod,NE,1490,102,Appartement ,4.0
Granges-Paccot,FR,1710,102,Appartement ,4.5
Vouvry,VS,1500,53,Appartement ,2.0
Schnottwil,SO,1250,100,Attique ,2.5
Grandson,VD,1820,82,Appartement ,4.5
Conthey,VS,1250,94,Appartement ,3.5
Muralto,TI,1645,83,Appartement ,3.5
Grimisuat,VS,850,55,Appartement ,2.5
Vernier,GE,3200,100,Appartement ,4.0
Bex,VD,1170,48,Appartement ,2.5
Kriens,LU,5500,148,Maison ,5.5
Renens,VD,1739,55,Appartement ,2.5
Muralto,TI,1200,65,Appartement ,3.5
La Chaux-de-Fonds,NE,830,77,Appartement ,3.0
Lucens,VD,1180,58,Appartement ,2.5
Dagmersellen,LU,1410,99,Appartement ,4.5
Estavayer,FR,1310,77,Appartement ,3.5
Mendrisio,TI,3000,280,Maison ,5.5
Saint-Sulpice,VD,2600,128,Appartement ,5.5
Haut-Intyamon,FR,1420,105,Loft ,2.5
Richterswil,ZH,1560,55,Appartement ,2.5
Münchenstein,BL,350,21,Chambre ,1.0
Avenches,VD,1020,56,Appartement ,2.5
Niedergösgen,SO,1800,117,Appartement ,4.5
Gossau,SG,1005,43,Appartement ,2.5
Le Chenit,VD,950,65,Appartement ,3.0
Saint-Sulpice,VD,2200,79,Loft ,3.0
Montanaire,VD,1770,83,Appartement ,3.5
Chavannes-de-Bogis,VD,4250,90,Appartement ,4.5
Montanaire,VD,1200,59,Appartement ,2.5
Jongny,VD,3400,110,Duplex ,4.5
Develier,JU,800,48,Appartement ,2.0
Payerne,VD,1550,70,Appartement ,3.5
Vernayaz,VS,1440,86,Appartement ,3.5
Therwil,BL,1280,76,Appartement ,3.5
Cortaillod,NE,1150,64,Appartement ,3.0
Bellinzona,TI,1410,79,Appartement ,3.5
Tafers,FR,1250,64,Appartement ,3.5
Conthey,VS,1250,94,Appartement ,3.5
Bellinzona,TI,1320,76,Appartement ,4.0
Courroux,JU,1560,120,Appartement ,4.5
Neuchâtel,NE,1570,65,Appartement ,3.5
Avenches,VD,1050,83,Duplex ,2.5
Pully,VD,3500,136,Appartement ,4.5
Buchs,AG,1370,73,Appartement ,2.5
Uzwil,SG,1530,120,Appartement ,5.5
Tafers,FR,1700,97,Appartement ,3.5
Allschwil,BL,1570,63,Appartement ,2.5
Wangen,SZ,2450,88,Dernier étage ,3.5
Cologny,GE,2969,70,Appartement ,3.0
Saint-Sulpice,VD,1400,73,Appartement ,3.0
Givisiez,FR,1720,109,Appartement ,4.5
Gossau,SG,2800,150,Appartement ,4.5
Chêne-Bougeries,GE,25000,374,Maison ,8.0
Genthod,GE,4950,173,Maison,
Orbe,VD,966,37,Appartement ,1.5
Schwerzenbach,ZH,1856,65,Appartement ,2.5
Remaufens,FR,1640,83,Appartement ,3.5
Tafers,FR,1150,68,Appartement ,3.0
Vernier,GE,2850,52,Appartement meublé ,3.0
Prangins,VD,3800,115,Appartement ,3.5
Estavayer,FR,1040,86,Appartement ,3.0
Saint-Sulpice,VD,1900,72,Appartement ,3.5
Renens,VD,1350,56,Appartement ,3.5
Vernier,GE,6930,188,Appartement ,6.5
Le Locle,NE,1285,105,Appartement ,4.5
Römerswil,LU,1640,95,Appartement ,4.5
Therwil,BL,3600,140,Maison jumelée ,5.5
Chêne-Bougeries,GE,3090,124,Appartement ,6.5
Gland,VD,2450,89,Appartement ,4.5
Bellevue,GE,5000,120,Maison contiguë ,6.0
Therwil,BL,1800,70,Appartement ,2.5
Chavannes-près-Renens,VD,2070,105,Appartement ,4.0
Saint-Sulpice,VD,4000,150,Villa ,5.5
Anières,GE,7500,185,Maison jumelée ,7.0
Köniz,BE,992,80,Appartement ,3.5
Allschwil,BL,1750,75,Appartement ,3.5
Vuisternens-devant-Romont,FR,1300,100,Duplex ,4.5
Bachenbülach,ZH,3550,126,Appartement terrasse ,3.5
Liestal,BL,1270,65,Appartement ,3.5
Riddes,VS,1800,100,Appartement meublé ,4.5
Horn,TG,4240,180,Dernier étage ,4.5
Muttenz,BL,1460,82,Appartement ,4.0
Cologny,GE,3850,40,Appartement ,1.0
Baulmes,VD,1450,58,Appartement ,2.5
Zürich,ZH,2780,60,Appartement ,2.5
Roggliswil,LU,1300,90,Dernier étage ,3.5
Le Locle,NE,780,65,Appartement ,3.5
Frauenkappelen,BE,2700,55,Appartement meublé ,2.0
Saint-Sulpice,VD,1970,72,Appartement ,3.5
Montagny-près-Yverdon,VD,1550,65,Appartement ,2.5
Vernier,GE,3145,122,Appartement ,4.5
Grabs,SG,2450,104,Appartement meublé ,4.5
Marly,FR,1690,82,Appartement ,3.5
Champagne,VD,1850,100,Appartement ,4.5
Féchy,VD,6800,288,Appartement ,6.5
Epalinges,VD,750,28,Appartement ,1.0
Prangins,VD,1300,33,Appartement ,1.0
Reute,AR,990,70,Appartement ,3.5
Sion,VS,900,49,Appartement ,2.0
Prangins,VD,1740,75,Appartement ,3.5
Frauenkappelen,BE,1690,108,Appartement ,3.5
Murten,FR,1250,67,Appartement ,3.5
Saint-Sulpice,VD,1500,52,Appartement ,2.5
